Topic,Count
Too generic,108
Grammar,94
Off topic comments,90
Word choice,79
Too scripted,77
Personalization,61
None,52
Interaction with others,51
Tone,39
Image usage,28
Sentence length,20
Too realistic,19
Too inflammatory,18
Emoji usage,17
Typing habits,13
