Topic,Count
Too generic,167
Off topic comments,87
Too scripted,81
Grammar,79
None,70
Tone,64
Word choice,63
Personalization,49
Interaction with others,47
Sentence length,34
Image usage,27
Typing habits,21
Too realistic,16
Repetition,13
Emoji usage,12
