Topic,Count
Too generic,157
Grammar,113
Too scripted,104
Off topic comments,100
Word choice,87
Personalization,68
None,56
Tone,53
Interaction with others,50
Image usage,32
Sentence length,24
Emoji usage,21
Repetition,18
Too inflammatory,18
Typing habits,17
