Topic,Count
Too generic,92
Off topic comments,60
None,54
Too scripted,44
Word choice,43
Interaction with others,40
Tone,40
Grammar,35
Personalization,31
Sentence length,21
Too realistic,20
Image usage,20
Typing habits,15
Too inflammatory,9
Too factual,7
