Topic,Count
Too generic,151
Off topic comments,101
Grammar,79
Too scripted,71
Word choice,70
None,60
Personalization,59
Tone,52
Interaction with others,51
Image usage,31
Sentence length,22
Too inflammatory,20
Too realistic,19
Typing habits,18
Repetition,14
