Topic,Count
Too generic,118
Grammar,88
Too scripted,78
Off topic comments,72
Word choice,69
None,57
Tone,50
Personalization,46
Interaction with others,43
Sentence length,30
Image usage,21
Emoji usage,17
Too realistic,16
Typing habits,16
Repetition,8
