Topic,Count
Too generic,275
Off topic comments,177
Grammar,173
Too scripted,159
Word choice,142
None,123
Personalization,110
Tone,104
Interaction with others,98
Image usage,55
Sentence length,54
Too realistic,35
Typing habits,34
Emoji usage,29
Too inflammatory,29
Repetition,23
Too factual,17
Too agreeable,11
Too formal,3
Too specific,2
